Establishment Year,Number of google review in lakhs
-260,0.2
-300,0.01
-3500,1.2
-400,0.59
-500,0.065
-820,0.29
-850,0.09
-987,0.13
10th century,0.28
110,0.35
1100,0.07500000000000001
1121,0.11
1156,0.56
1192,1.37
11th century,0.35
1200,0.01
1236,0.35
1250,0.83
12th century,1.325
1351,0.015
1362,0.5
1400,2.02
1430,0.1
1431,0.16
1451,0.3
1459,0.64
14th century,0.49
1500,0.61
1503,0.1
1505,0.11
1524,0.0165
1535,1.2
1559,0.51
1563,0.5
1565,1.3
1571,0.07
1572,0.4
1589,0.32
1591,2.1
1592,1.5
1600,1.66
1604,1.9
1605,0.59
1612,0.95
1613,0.25
1617,0.19
1632,2.25
1640,0.05
1648,1.5
1650,0.22
1656,0.74
1680,0.032
16th century,0.075
1700,0.25
1705,0.015
1724,0.31
1726,0.3
1727,0.51
1732,1.2
1734,0.065
1747,0.63
1751,0.05
1760,1.5
1784,0.45
1799,1.3
1800,0.45
1809,0.5
1814,0.25
1824,0.61
1828,0.02
1831,0.33
1835,0.1
1837,0.18
1855,0.82
1863,0.1
1864,0.47
1868,0.025
1870,1.32
1876,0.66
1878,0.9
1881,1.05
1887,0.72
1890,0.17
1898,0.47
1900,0.23
1901,0.035
1905,0.068
1906,0.12
1912,2.5
1915,0.35
1921,3.33
1922,1.03
1924,3.6
1936,0.3
1939,0.03
1941,0.035
1943,1.2
1949,0.07
1950,0.455
1951,1.36
1954,0.08
1955,0.1
1956,0.8
1957,0.01
1958,0.07
1959,0.5599999999999999
1960,0.81
1960s,0.035
1963,0.86
1965,0.08
1967,0.075
1968,0.085
1970,0.47
1971,0.21
1972,0.1
1974,0.15
1975,0.1
1976,0.9099999999999999
1977,0.49
198,0.59
1980,1.3900000000000001
1981,0.03
1982,0.17500000000000002
1984,0.265
1986,0.86
1987,0.38699999999999996
1988,0.04
1990,0.23500000000000001
1991,0.065
1992,0.41000000000000003
1994,0.73
1996,1.05
1997,2.02
1999,0.1
200,0.48
2001,0.11
2002,0.11
2003,0.23
2004,1.2
2005,1.3599999999999999
2009,0.1
2010,0.3
2011,7.4
2012,2.39
2013,3.05
2016,1.91
2018,0.67
2019,0.27
2020,0.35
211,0.12
213,0.1
22,0.49
24,0.011
400,0.1
600,0.69
6th century AD,0.65
700,2.8249999999999997
751,0.09
7th century,0.25
900,0.4
Ancient,0.01
Unknown,30.743
